,rev_date,rev_title,rev_type,rev_rating,rev_par
0,September 2021,Spectacular experience," Traveled as a couple
",50,"The place is around the city district. Curated breakfast was fun and exciting to pick. Easy check in and out! Staff are amazing.  Catherine reservation manager, was so prompt to answer our emails. Micher was always very helpful from front office and Marlon was very friendly. Salamat! Till our next stay."
1,June 2021,Graduation weekend in a Pet friendly Hotel!,NA,50,"My daughter had her Virtual High School graduation (COVID!!!) last June 2021 and we wanted a place with a really huge smart TV, that was pet friendly as well. We have a lovable corgi and my daughter couldn't leave him behind for this occasion. Joy Joy Nostalg Hotel and Suites was perfect with large spacious suites and pet friendly!!"
2,July 2021,Our first stay," Traveled as a couple
",50,Room was in excellent condition  Staff are very polite and friendly  Food tastes great. Water supply is very good considering we stayed at the 27th floor All equipment are in tip-top shape. Love the pool area and the sauna  I wish there is a deodorant in the bathroom as a part of the hygiene kit. And a small clock will do.  We will definitely be back. It’s now our default hotel to stay.
3,July 2021,A great place to stay,NA,50,"It’s a great place to stay. Staffs were friendly, caring, and pleasant, starting from the reception. Meals are very good and delicious. Rooms are very clean and relaxing. I highly recommend the hotel for locals and foreigners. I would probably choose Joy Nostalg Hotel & Suites Manila next time as I have experience warm welcomes of the staff, excellent service and pleasantness of hotel crew."
4,June 2021,Business Meeting (accommodation and function room)," Traveled on business
",50,"Kudos for room accommodation. We were able to maximize the washing machine with dryer, sauna, television inside the comfort room, kitchen with ref and induction. The food is so good! I highly recommend their indian food option.   With regards to the function hall during our business meeting, they provided us complete materials such as pen and notepads, projector, microphones, etc. Two thumbs up for Sir Joven and Sir Nikko in attending all our needs.   I am now excited for our next business meetings that will be done again in this hotel. :)"
5,February 2021,Exceeded our expectations!,NA,50,"Our stay exceeded our expectations! From the smooth booking, to the warm greeting upon check-in. We had our pup with us and while we got our rapid testing done, they looked after our dog, which I thought was very sweet! The room was very clean, smelled really good and had a bed prepared for our dog. We used their facilities and we informed them ahead of time so they could schedule us in for our safety and to avoid any risk due to the current climate. Our breakfasts were brought up to us and had a great variety, the croissants were so good!  We had a very relaxing, enjoyable and memorable staycation. Prior to this stay, we didnt think was possible since we worried that safety might be overlooked but it was certainly prioritized at Joy Nostalg, without compromising the comfort and"
6,March 2021,Joy Nostalg: Finding Joy indoors,NA,50,"Sometimes, a quick escape from the noise of our everyday work/class is not enough to relax and recharge. A little bit of sophistication is essential. That is what Joy Nostalg offers. A feeling of convenience, partnered with elegance. The rooms are spotless and provides a vibe that you are in the comfort of your home. The bathrooms are well-maintained and organize. The beds and pillows will surely invite you at first glance. The staff are accommodating and courteous. It's always a pleasant experience here in Joy Nostalg even during the pandemic."
7,February 2021,"MORE THAN HOME, AWAY FROM HOME.",NA,40,"Even though my request for two single beds were not available, me and my son enjoyed our stay at Joy Nostalg. We shared a King size bed which was very comfy. We checked in a little late so we requested for a late check out which they granted. So we were able to use their swimming pool, jacuzzi and their state of the art gym equipments ( mostly LIfe Fitness brand). Very friendly staff. But WIFI signal was not too strong. The food at Nostalgia Lounge was also very good. We felt safe fr. the virus because all clients checking in are required to have an Antigen rapid test (Nasal only) On site. We paid for 1,500 each for the test. We really enjoyed our stay."
8,December 2020,Stay at Joy Nostalgia,NA,50,Our accomodation was 3 days and 2 nights. We enjoyed our stay at Joy with all the friendly staff and good ambiance. Our room had a great view outside. We had no trouble checking in and out. Me and my wife will definitely book again here. :)
9,December 2020,Worth it staycation with my furbaby!,NA,50,"I usually go on staycations on my own, but this time it was a memorable one because I was able to bring my furbaby along with me.  The room where I stayed was nice, the bed and the pillows was awesome.  Everyone from the guards, the reception, housekeeping, room service folks were a delight to interact with.  Very professional, great demeanor and had smiles on their faces.  Most of all, my furbaby - Cotton loved it!  He enjoyed our stay so much!  The only downside I have is my room doesn't have a bath tub.  Hopefully next time, I get one."
